date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
02:38:57	75/75	---MCZ	200	added ('OK')	text/plain	etag:W/%22675b7b98-3b%22	https://sun.win/robots.txt		(from )
02:38:57	30658/30658	---MCZ	200	added ('OK')	text/html	date:Fri,%2003%20Jan%202025%2019:38:57%20GMT	https://sun.win/?a=8ad2e89819deb0c5ae9a219d82f1d8e4&utm_campaign=organic&utm_source=pum&utm_medium=search	C:/Users/Administrator/Desktop/sunwin/sun.win/index92ec.html	(from )
02:38:57	36582/36582	---M--	200	added ('OK')	image/webp	etag:%22675b7b98-8ee6%22	https://sun.win/images/seo/img1.webp	C:/Users/Administrator/Desktop/sunwin/sun.win/images/seo/img1.webp	(from https://sun.win/?a=8ad2e89819deb0c5ae9a219d82f1d8e4&utm_campaign=organic&utm_source=pum&utm_medium=search)
02:38:57	30339/30339	---MCZ	200	added ('OK')	text/html	date:Fri,%2003%20Jan%202025%2019:38:57%20GMT	https://sun.win/	C:/Users/Administrator/Desktop/sunwin/sun.win/index.html	(from https://sun.win/?a=8ad2e89819deb0c5ae9a219d82f1d8e4&utm_campaign=organic&utm_source=pum&utm_medium=search)
02:38:57	1150/1150	---MCZ	200	added ('OK')	image/x-icon	etag:W/%22675b7b98-47e%22	https://sun.win/favicon.ico	C:/Users/Administrator/Desktop/sunwin/sun.win/favicon.ico	(from https://sun.win/?a=8ad2e89819deb0c5ae9a219d82f1d8e4&utm_campaign=organic&utm_source=pum&utm_medium=search)
02:38:58	22262/22262	---MCZ	200	added ('OK')	text/css	etag:W/%22677651ad-56f6%22	https://sun.win/build/style.min.css?v=6.7.46	C:/Users/Administrator/Desktop/sunwin/sun.win/build/style.min5de0.css	(from https://sun.win/?a=8ad2e89819deb0c5ae9a219d82f1d8e4&utm_campaign=organic&utm_source=pum&utm_medium=search)
02:38:58	151431/151431	---MCZ	200	added ('OK')	application/javascript	etag:W/%226763be22-24f87%22	https://sun.win/build/apphd.min.js?v=6.6.6	C:/Users/Administrator/Desktop/sunwin/sun.win/build/apphd.minb072.js	(from https://sun.win/?a=8ad2e89819deb0c5ae9a219d82f1d8e4&utm_campaign=organic&utm_source=pum&utm_medium=search)
02:38:58	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Fri,%2003%20Jan%202025%2019:38:58%20GMT	https://www.googletagmanager.com/gtm.js?id=	C:/Users/Administrator/Desktop/sunwin/www.googletagmanager.com/gtm.45445.delayed	(from https://sun.win/?a=8ad2e89819deb0c5ae9a219d82f1d8e4&utm_campaign=organic&utm_source=pum&utm_medium=search)
02:38:58	53846/53846	---M--	200	added ('OK')	image/png	etag:%22675b7b98-d256%22	https://sun.win/images/logo.png?v=6.6.7	C:/Users/Administrator/Desktop/sunwin/sun.win/images/logo6893.png	(from https://sun.win/?a=8ad2e89819deb0c5ae9a219d82f1d8e4&utm_campaign=organic&utm_source=pum&utm_medium=search)
02:38:59	5820/5820	---M--	200	added ('OK')	image/png	etag:%22675b7b98-16bc%22	https://sun.win/images/tab-dangky.png?v=6.6.7	C:/Users/Administrator/Desktop/sunwin/sun.win/images/tab-dangky6893.png	(from https://sun.win/?a=8ad2e89819deb0c5ae9a219d82f1d8e4&utm_campaign=organic&utm_source=pum&utm_medium=search)
